GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,37,15,0,100.00,0.13,128186,199,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,41,15,0,100.00,0.12,135358,231,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,8,37,6,0,100.00,0.13,144156,235,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,39,13,0,100.00,0.12,146568,212,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,38,13,0,100.00,0.13,146605,197,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,40,15,0,100.00,0.12,153360,207,Max. coverage
Springs,EDF,Uniform,Hard,1000,20000,0.02,8,56,8,0,100.00,0.16,567836,419,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,40,14,0,100.00,0.12,158050,236,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,8,41,7,0,100.00,0.12,180849,313,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,40,13,0,100.00,0.12,59474,234,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,39,15,0,100.00,0.13,73878,224,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,34,14,0,100.00,0.07,94574,494,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,34,15,0,100.00,0.07,116432,501,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,34,12,0,100.00,0.07,122633,489,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,34,13,0,100.00,0.07,124272,485,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,36,14,0,100.00,0.07,128460,521,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,38,14,0,100.00,0.06,133443,562,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,36,14,0,100.00,0.07,136412,520,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,34,12,0,100.00,0.07,142850,512,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,38,15,0,100.00,0.07,67503,579,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,37,13,0,100.00,0.07,86249,554,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,35,14,0,100.00,0.03,50448,586,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,34,14,0,100.00,0.03,50917,581,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,34,12,0,100.00,0.03,54128,591,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,40,14,0,100.00,0.02,56092,655,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,36,15,0,100.00,0.03,57095,607,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,33,12,0,100.00,0.03,57305,571,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,36,13,0,100.00,0.03,59207,603,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,33,12,0,100.00,0.03,63060,552,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,8,37,7,0,100.00,0.03,29538,685,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,31,13,0,100.00,0.03,42632,563,Max. coverage
