GW Pos. Heuristic,ED Sched. Method,Position distr.,Periods distr.,Map size,ED Number,ED Dens. (1/m^2),Max. SF,GW Number,Channels used,ED Unfeas. Instances,Coverage %,GW Avg. UF,Elapsed,Iterations,Exit condition
Springs,EDF,Uniform,Hard,1000,20000,0.02,8,51,7,0,100.00,0.18,860477,667,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,43,15,0,100.00,0.11,300448,582,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,39,14,0,100.00,0.13,305174,545,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,38,15,0,100.00,0.13,306529,532,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,37,14,0,100.00,0.13,313750,554,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,36,13,0,100.00,0.14,315695,541,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,39,15,0,100.00,0.12,324141,556,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,37,13,0,100.00,0.13,345118,524,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,8,39,6,0,100.00,0.13,361761,594,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,9,37,13,0,100.00,0.13,181093,520,Max. coverage
Springs,EDF,Uniform,Hard,1000,10000,0.01,8,36,6,0,100.00,0.14,199103,575,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,34,13,0,100.00,0.07,108302,602,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,32,13,0,100.00,0.08,135764,531,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,37,13,0,100.00,0.07,138434,636,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,38,15,0,100.00,0.07,139243,577,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,36,14,0,100.00,0.07,139812,570,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,35,15,0,100.00,0.07,142743,574,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,35,13,0,100.00,0.07,149524,572,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,37,14,0,100.00,0.07,152135,572,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,37,14,0,100.00,0.07,53263,594,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,35,14,0,100.00,0.03,52935,618,Max. coverage
Springs,EDF,Uniform,Hard,1000,5000,0.01,9,35,12,0,100.00,0.07,107495,564,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,33,12,0,100.00,0.03,57467,564,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,35,14,0,100.00,0.03,59582,620,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,35,14,0,100.00,0.03,65644,627,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,33,11,0,100.00,0.03,67239,565,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,37,12,0,100.00,0.03,68995,639,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,35,13,0,100.00,0.03,73512,624,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,36,13,0,100.00,0.03,74200,635,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,9,33,13,0,100.00,0.03,35950,574,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,33,13,0,100.00,0.02,24499,571,Max. coverage
Springs,EDF,Uniform,Hard,1000,2000,0.00,8,34,5,0,100.00,0.03,63719,627,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,31,11,0,100.00,0.02,28529,538,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,31,11,0,100.00,0.02,29417,542,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,31,11,0,100.00,0.02,29701,563,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,30,11,0,100.00,0.02,30146,549,Max. coverage
Springs,EDF,Uniform,Hard,1000,1000,0.00,9,37,15,0,100.00,0.01,30702,658,Max. coverage
